src,dst
391450,393216
393215,393216
393216,393217
390468,393217
391320,393217
393217,393218
390781,393218
393218,393219
389749,393219
393219,393220
390467,393220
393220,393221
388798,393221
393221,393222
388456,393222
393222,393223
387648,393223
261288,262209
262048,262209
524386,524383
523837,524383
524383,524384
524932,524384
524384,524385
525484,524385
525092,524388
523515,524388
523653,524390
524193,524390
525095,524391
525298,524391
524391,524392
524393,524392
282242,284017
284414,284017
284017,284018
283451,284018
284018,284019
284907,284019
284579,284024
284580,284024
525066,524502
529233,524502
534798,524502
524502,524503
523629,524503
524503,524504
522505,524504
524504,524505
521259,524505
524505,524506
523312,524506
524506,524507
520029,524507
524507,524508
519785,524508
524508,524509
518255,524509
524509,524510
522341,524510
524510,524511
520310,524511
524511,524512
518961,524512
524512,524513
516476,524513
524513,524514
516477,524514
524514,524515
521816,524515
524515,524516
515075,524516
524516,524517
514002,524517
524517,524518
513475,524518
524518,524519
512820,524519
524519,524520
513655,524520
524520,524521
513479,524521
524521,524522
513491,524522
524522,524523
511191,524523
524523,524524
508282,524524
509293,524524
524524,524525
507957,524525
509148,524525
524525,524526
506729,524526
507121,524526
524526,524527
514293,524527
524527,524528
507597,524528
524528,524529
503600,524529
524529,524530
502889,524530
524530,524531
504996,524531
524531,524532
501268,524532
524532,524533
500265,524533
524533,524534
500994,524534
524534,524535
497231,524535
524535,524536
501963,524536
524536,524537
494665,524537
524537,524538
496265,524538
524538,524539
497723,524539
524539,524540
493646,524540
524540,524541
494024,524541
524541,524542
493280,524542
524542,524543
492574,524543
524543,524544
487829,524544
524544,524545
489548,524545
524545,524546
490978,524546
524546,524547
488349,524547
524547,524548
489038,524548
524548,524549
486718,524549
524549,524550
485272,524550
524550,524551
485782,524551
524551,524552
488007,524552
524552,524553
484370,524553
524553,524554
482245,524554
524554,524555
482075,524555
524555,524556
480917,524556
524556,524557
487647,524557
524557,524558
479077,524558
524558,524559
482569,524559
524559,524560
479078,524560
524560,524561
478718,524561
524561,524562
477390,524562
524562,524563
475639,524563
524563,524564
477993,524564
524564,524565
478892,524565
524565,524566
475640,524566
524566,524567
474541,524567
524567,524568
474273,524568
524568,524569
474427,524569
524569,524570
473426,524570
524570,524571
472511,524571
524571,524572
473022,524572
524572,524573
473153,524573
524573,524574
478335,524574
524574,524575
470204,524575
524575,524576
470025,524576
524576,524577
470024,524577
524577,524578
468509,524578
524578,524579
472523,524579
524579,524580
467308,524580
524580,524581
467777,524581
524581,524582
465987,524582
524582,524583
464458,524583
524583,524584
473021,524584
524584,524585
462321,524585
524585,524586
459325,524586
524586,524587
460806,524587
524587,524588
459326,524588
524588,524589
457921,524589
524589,524590
459596,524590
524590,524591
457771,524591
524591,524592
463571,524592
524592,524593
455946,524593
524593,524594
457633,524594
524594,524595
455316,524595
524595,524596
453308,524596
524596,524597
456274,524597
524597,524598
455750,524598
524598,524599
453780,524599
524599,524600
454654,524600
524600,524601
453465,524601
524601,524602
454314,524602
524602,524603
453466,524603
524603,524604
452480,524604
524604,524605
452670,524605
524605,524606
453103,524606
524606,524607
451178,524607
524607,524608
450358,524608
524608,524609
448296,524609
524609,524610
451032,524610
524610,524611
450196,524611
524611,524612
451668,524612
524612,524613
448905,524613
524613,524614
448616,524614
524614,524615
448621,524615
524615,524616
447095,524616
524616,524617
446608,524617
524617,524618
446922,524618
524618,524619
445731,524619
524619,524620
445356,524620
524620,524621
444515,524621
524621,524622
444132,524622
524622,524623
443301,524623
524623,524624
444133,524624
524624,524625
446935,524625
524625,524626
441572,524626
524626,524627
441432,524627
524627,524628
443821,524628
524628,524629
441431,524629
524629,524630
439008,524630
524630,524631
438582,524631
524631,524632
440959,524632
524632,524633
438098,524633
524633,524634
436685,524634
437173,524634
524634,524635
442057,524635
524635,524636
434329,524636
524381,524638
525290,524638
524638,524639
523631,524639
524639,524640
524920,524640
524640,524641
525477,524641
524641,524642
525289,524642
392647,393581
392820,393581
394135,393582
394303,393582
525285,524779
524182,524779
524779,524780
526407,524780
524780,524781
525631,524781
524781,524782
525924,524782
524782,524783
523827,524783
524783,524784
525286,524784
525295,524787
524036,524787
524787,524788
525294,524788
524788,524789
523327,524789
524789,524790
524035,524790
524790,524791
524933,524791
524791,524792
525485,524792
524792,524793
525935,524793
526110,524794
521992,524794
524794,524795
523654,524795
524390,524796
524795,524796
524796,524797
525489,524797
524797,524798
526263,524798
524798,524799
525640,524799
394295,393744
395914,393744
393758,393759
394316,393759
393759,393760
394828,393760
525769,524921
526412,524921
525087,524924
526415,524924
524644,524925
524924,524925
524925,524926
524930,524926
524926,524927
522691,524927
524927,524928
524189,524928
524928,524929
522149,524929
394293,393906
394500,393906
395366,393906
393906,393907
393187,393907
394654,393911
