node_id,a_i,l_i,a_h
489025,2.2921,0.258,0.08767
489208,0.95197,1.489,0.95197
489024,1.9289,0.649,0.33817
497538,0.41293,0.881,0.41293
491400,1.127,1.422,1.127
465637,0.1507,0.583,0.1507
471356,21.6741,0.841,0.60264
469346,0.84106,0.162,0.17574
482404,55.4684,0.774,0.48907
472677,4.2661,0.943,0.41408
471355,20.2805,0.258,0.11298
466140,13.0596,0.516,0.26369
466139,12.2811,0.583,0.51486
480280,10.7321,0.162,0.075234
466142,14.3404,0.583,0.17581
480278,6.1676,0.258,0.037617
463254,3.404,1.233,0.52749
501590,42.158,0.324,0.12512
466143,19.3019,0.162,0.025116
480279,9.6037,0.42,0.33854
467762,16.538,0.545,0.33903
499041,2.152,0.556,0.33778
499602,3.2527,1.097,1.201
469215,2.0713,1.424,0.53975
494013,1.5272,0.456,0.18777
499601,1.8015,0.324,0.13761
469351,3.1379,1.806,1.0041
494282,3.3546,0.353,0.11265
468007,1.4815,2.657,1.4815
360116,0.67322,1.298,0.67322
477752,3.8875,0.096,0.012541
500096,4.566,0.845,0.35037
487624,127.133,0.095,0.062668
487622,125.203,0.516,0.47627
494833,15.745,0.744,0.48803
487615,116.03,0.353,0.12534
487599,55.6677,0.095,0.037582
480912,0.62679,0.64,0.62679
487598,52.9988,0.325,0.47606
483492,3.083,1.671,1.4037
470768,2.3971,1.261,1.0292
498508,0.52545,1.105,0.52545
469747,4.9951,0.707,0.95396
475342,12.2666,0.162,0.062732
475343,13.057,0.325,0.050188
487596,50.2807,0.487,0.1378
486286,4.0975,0.325,0.12529
477102,0.55177,0.516,0.55177
487621,124.588,0.095,0.012535
475344,13.7597,0.583,0.36387
487619,122.358,0.544,0.47627
497225,8.622,1.136,1.001
495228,1.9025,0.162,0.02503
470764,1.9955,1.223,0.76559
487604,89.7528,0.286,0.10022
487603,89.3018,0.477,0.35077
475489,45.7779,0.456,0.26353
494839,21.6648,0.448,0.33791
475488,43.9207,0.131,0.18822
497226,9.0724,0.162,0.08758
470200,1.644,0.487,0.087859
487629,132.785,0.477,0.33841
487628,132.108,0.162,0.11281
487627,130.981,0.353,0.36347
494836,17.4969,0.868,0.40045
487616,116.857,0.095,0.025064
476078,5.2056,0.745,0.45166
487626,129.476,1.031,1.1531
498862,0.68813,1.306,0.68813
480734,0.38861,1.074,0.38861
498194,0.9133,1.906,0.9133
488178,24.2245,0.191,0.062635
487611,103.211,0.095,0.012527
487625,128.035,0.162,0.12533
479684,3.0717,1.103,0.51398
524537,702.839,0.258,0.087585
477751,3.4736,1.356,0.94061
473413,0.32621,0.545,0.32621
482559,1.3537,0.812,0.27573
504313,157.039,0.618,0.20021
492570,1.2771,0.713,0.35055
480132,4.7765,0.162,0.08776
504353,422.908,0.162,0.062744
484666,4.5617,0.258,0.1253
